03-31 05:49:19: Training starting...

Starting run 1/5.
Run 1 | Ep 17200 | Steps 169245/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17300 | Steps 170187/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17400 | Steps 171133/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17500 | Steps 172068/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17600 | Steps 173004/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 17700 | Steps 173947/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17800 | Steps 174901/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17900 | Steps 175842/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 18000 | Steps 176795/1000000 | Epsilon 0.01 | Last score: 12.0
Run 1 | Ep 18100 | Steps 177741/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18200 | Steps 178683/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 18300 | Steps 179620/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18400 | Steps 180568/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18500 | Steps 181504/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 18600 | Steps 182451/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18700 | Steps 183391/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18800 | Steps 184336/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 18900 | Steps 185276/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19000 | Steps 186220/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19100 | Steps 187175/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19200 | Steps 188115/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 19300 | Steps 189066/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19400 | Steps 190005/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 19500 | Steps 190942/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19600 | Steps 191875/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19700 | Steps 192828/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19800 | Steps 193763/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19900 | Steps 194706/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20000 | Steps 195645/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20100 | Steps 196595/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 20200 | Steps 197524/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20300 | Steps 198467/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20400 | Steps 199409/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20500 | Steps 200348/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20600 | Steps 201292/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20700 | Steps 202227/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20800 | Steps 203158/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20900 | Steps 204089/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21000 | Steps 205023/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21100 | Steps 205956/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21200 | Steps 206894/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21300 | Steps 207836/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21400 | Steps 208762/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21500 | Steps 209701/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21600 | Steps 210654/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 21700 | Steps 211591/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 21800 | Steps 212528/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21900 | Steps 213487/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22000 | Steps 214424/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22100 | Steps 215386/1000000 | Epsilon 0.01 | Last score: 10.0
