03-31 05:12:40: Training starting...

Starting run 1/5.
Run 1 | Ep 9300 | Steps 146194/1000000 | Epsilon 0.28 | Last score: 15.0
Run 1 | Ep 9400 | Steps 147312/1000000 | Epsilon 0.27 | Last score: 17.0
Run 1 | Ep 9500 | Steps 148381/1000000 | Epsilon 0.27 | Last score: 9.0
Run 1 | Ep 9600 | Steps 149502/1000000 | Epsilon 0.26 | Last score: 10.0
Run 1 | Ep 9700 | Steps 150612/1000000 | Epsilon 0.25 | Last score: 11.0
Run 1 | Ep 9800 | Steps 151708/1000000 | Epsilon 0.25 | Last score: 17.0
Run 1 | Ep 9900 | Steps 152794/1000000 | Epsilon 0.24 | Last score: 13.0
Run 1 | Ep 10000 | Steps 153882/1000000 | Epsilon 0.24 | Last score: 11.0
Run 1 | Ep 10100 | Steps 154933/1000000 | Epsilon 0.23 | Last score: 10.0
Run 1 | Ep 10200 | Steps 156032/1000000 | Epsilon 0.23 | Last score: 14.0
Run 1 | Ep 10300 | Steps 157125/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10400 | Steps 158167/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10500 | Steps 159213/1000000 | Epsilon 0.21 | Last score: 10.0
Run 1 | Ep 10600 | Steps 160296/1000000 | Epsilon 0.21 | Last score: 12.0
Run 1 | Ep 10700 | Steps 161378/1000000 | Epsilon 0.20 | Last score: 21.0
Run 1 | Ep 10800 | Steps 162459/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10900 | Steps 163485/1000000 | Epsilon 0.19 | Last score: 9.0
Run 1 | Ep 11000 | Steps 164525/1000000 | Epsilon 0.19 | Last score: 10.0
Run 1 | Ep 11100 | Steps 165568/1000000 | Epsilon 0.18 | Last score: 10.0
Run 1 | Ep 11200 | Steps 166589/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 11300 | Steps 167604/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11400 | Steps 168614/1000000 | Epsilon 0.17 | Last score: 9.0
Run 1 | Ep 11500 | Steps 169638/1000000 | Epsilon 0.16 | Last score: 14.0
Run 1 | Ep 11600 | Steps 170652/1000000 | Epsilon 0.16 | Last score: 14.0
Run 1 | Ep 11700 | Steps 171662/1000000 | Epsilon 0.15 | Last score: 10.0
Run 1 | Ep 11800 | Steps 172678/1000000 | Epsilon 0.15 | Last score: 14.0
Run 1 | Ep 11900 | Steps 173695/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12000 | Steps 174705/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12100 | Steps 175719/1000000 | Epsilon 0.13 | Last score: 11.0
Run 1 | Ep 12200 | Steps 176751/1000000 | Epsilon 0.13 | Last score: 11.0
Run 1 | Ep 12300 | Steps 177746/1000000 | Epsilon 0.12 | Last score: 9.0
Run 1 | Ep 12400 | Steps 178742/1000000 | Epsilon 0.12 | Last score: 10.0
Run 1 | Ep 12500 | Steps 179744/1000000 | Epsilon 0.11 | Last score: 9.0
Run 1 | Ep 12600 | Steps 180757/1000000 | Epsilon 0.11 | Last score: 10.0
Run 1 | Ep 12700 | Steps 181732/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 12800 | Steps 182707/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 12900 | Steps 183676/1000000 | Epsilon 0.09 | Last score: 9.0
Run 1 | Ep 13000 | Steps 184664/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13100 | Steps 185633/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13200 | Steps 186580/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13300 | Steps 187559/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13400 | Steps 188529/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13500 | Steps 189505/1000000 | Epsilon 0.06 | Last score: 10.0
Run 1 | Ep 13600 | Steps 190470/1000000 | Epsilon 0.06 | Last score: 9.0
Run 1 | Ep 13700 | Steps 191445/1000000 | Epsilon 0.05 | Last score: 9.0
Run 1 | Ep 13800 | Steps 192418/1000000 | Epsilon 0.05 | Last score: 9.0
Run 1 | Ep 13900 | Steps 193372/1000000 | Epsilon 0.04 | Last score: 10.0
Run 1 | Ep 14000 | Steps 194352/1000000 | Epsilon 0.04 | Last score: 11.0
Run 1 | Ep 14100 | Steps 195303/1000000 | Epsilon 0.03 | Last score: 10.0
Run 1 | Ep 14200 | Steps 196251/1000000 | Epsilon 0.03 | Last score: 8.0
Run 1 | Ep 14300 | Steps 197199/1000000 | Epsilon 0.02 | Last score: 9.0
Run 1 | Ep 14400 | Steps 198141/1000000 | Epsilon 0.02 | Last score: 10.0
Run 1 | Ep 14500 | Steps 199081/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14600 | Steps 200013/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14700 | Steps 200970/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14800 | Steps 201904/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 14900 | Steps 202839/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15000 | Steps 203790/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15100 | Steps 204734/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15200 | Steps 205677/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15300 | Steps 206622/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15400 | Steps 207552/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15500 | Steps 208483/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15600 | Steps 209415/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15700 | Steps 210352/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15800 | Steps 211303/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15900 | Steps 212246/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16000 | Steps 213187/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16100 | Steps 214124/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16200 | Steps 215063/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16300 | Steps 215996/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16400 | Steps 216943/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 16500 | Steps 217883/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16600 | Steps 218822/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16700 | Steps 219745/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16800 | Steps 220688/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16900 | Steps 221633/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17000 | Steps 222576/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17100 | Steps 223501/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17200 | Steps 224438/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 17300 | Steps 225384/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 17400 | Steps 226344/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17500 | Steps 227279/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17600 | Steps 228218/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17700 | Steps 229143/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17800 | Steps 230076/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 17900 | Steps 231012/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18000 | Steps 231961/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 18100 | Steps 232899/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18200 | Steps 233854/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 18300 | Steps 234795/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18400 | Steps 235745/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18500 | Steps 236679/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18600 | Steps 237620/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 18700 | Steps 238561/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 18800 | Steps 239494/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18900 | Steps 240425/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 19000 | Steps 241370/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19100 | Steps 242310/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19200 | Steps 243251/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19300 | Steps 244191/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19400 | Steps 245141/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19500 | Steps 246078/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19600 | Steps 247014/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19700 | Steps 247951/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19800 | Steps 248891/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19900 | Steps 249833/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 20000 | Steps 250778/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20100 | Steps 251728/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20200 | Steps 252665/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20300 | Steps 253609/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20400 | Steps 254562/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20500 | Steps 255507/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20600 | Steps 256444/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20700 | Steps 257371/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 20800 | Steps 258321/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20900 | Steps 259251/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 21000 | Steps 260201/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21100 | Steps 261142/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21200 | Steps 262077/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21300 | Steps 263024/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21400 | Steps 263969/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 21500 | Steps 264918/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21600 | Steps 265866/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21700 | Steps 266797/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 21800 | Steps 267736/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21900 | Steps 268663/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22000 | Steps 269597/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22100 | Steps 270538/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22200 | Steps 271472/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22300 | Steps 272412/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 22400 | Steps 273353/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22500 | Steps 274288/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 22600 | Steps 275217/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22700 | Steps 276164/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 22800 | Steps 277098/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 22900 | Steps 278042/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 23000 | Steps 278976/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 23100 | Steps 279923/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 23200 | Steps 280861/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 23300 | Steps 281802/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 23400 | Steps 282739/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 23500 | Steps 283686/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 23600 | Steps 284620/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 23700 | Steps 285546/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 23800 | Steps 286472/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 23900 | Steps 287418/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 24000 | Steps 288348/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 24100 | Steps 289293/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 24200 | Steps 290227/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 24300 | Steps 291168/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 24400 | Steps 292096/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 24500 | Steps 293046/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 24600 | Steps 293979/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 24700 | Steps 294927/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 24800 | Steps 295871/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 24900 | Steps 296816/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 25000 | Steps 297754/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25100 | Steps 298689/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25200 | Steps 299627/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 25300 | Steps 300562/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25400 | Steps 301500/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 25500 | Steps 302431/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25600 | Steps 303384/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25700 | Steps 304327/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25800 | Steps 305275/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 25900 | Steps 306215/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 26000 | Steps 307158/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 26100 | Steps 308122/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 26200 | Steps 309059/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 26300 | Steps 309991/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 26400 | Steps 310914/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 26500 | Steps 311856/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 26600 | Steps 312789/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 26700 | Steps 313712/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 26800 | Steps 314665/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 26900 | Steps 315604/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 27000 | Steps 316541/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 27100 | Steps 317498/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 27200 | Steps 318448/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 27300 | Steps 319387/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 27400 | Steps 320330/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 27500 | Steps 321264/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 27600 | Steps 322213/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 27700 | Steps 323150/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 27800 | Steps 324082/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 27900 | Steps 325025/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 28000 | Steps 325979/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 28100 | Steps 326930/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 28200 | Steps 327872/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 28300 | Steps 328805/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 28400 | Steps 329729/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 28500 | Steps 330668/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 28600 | Steps 331616/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 28700 | Steps 332538/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 28800 | Steps 333484/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 28900 | Steps 334422/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 29000 | Steps 335364/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 29100 | Steps 336299/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 29200 | Steps 337234/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 29300 | Steps 338177/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 29400 | Steps 339108/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 29500 | Steps 340053/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 29600 | Steps 341003/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 29700 | Steps 341936/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 29800 | Steps 342867/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 29900 | Steps 343799/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 30000 | Steps 344745/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 30100 | Steps 345687/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 30200 | Steps 346623/1000000 | Epsilon 0.01 | Last score: 9.0
