03-31 06:03:27: Training starting...

Starting run 1/5.
Run 1 | Ep 18800 | Steps 299047/1000000 | Epsilon 0.29 | Last score: 12.0
Run 1 | Ep 18900 | Steps 300191/1000000 | Epsilon 0.29 | Last score: 10.0
Run 1 | Ep 19000 | Steps 301290/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 19100 | Steps 302354/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 19200 | Steps 303464/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 19300 | Steps 304570/1000000 | Epsilon 0.28 | Last score: 8.0
Run 1 | Ep 19400 | Steps 305675/1000000 | Epsilon 0.27 | Last score: 12.0
Run 1 | Ep 19500 | Steps 306806/1000000 | Epsilon 0.27 | Last score: 14.0
Run 1 | Ep 19600 | Steps 307919/1000000 | Epsilon 0.27 | Last score: 14.0
Run 1 | Ep 19700 | Steps 309032/1000000 | Epsilon 0.27 | Last score: 12.0
Run 1 | Ep 19800 | Steps 310117/1000000 | Epsilon 0.26 | Last score: 8.0
Run 1 | Ep 19900 | Steps 311221/1000000 | Epsilon 0.26 | Last score: 10.0
Run 1 | Ep 20000 | Steps 312304/1000000 | Epsilon 0.26 | Last score: 11.0
Run 1 | Ep 20100 | Steps 313387/1000000 | Epsilon 0.26 | Last score: 9.0
Run 1 | Ep 20200 | Steps 314470/1000000 | Epsilon 0.25 | Last score: 8.0
Run 1 | Ep 20300 | Steps 315567/1000000 | Epsilon 0.25 | Last score: 15.0
Run 1 | Ep 20400 | Steps 316650/1000000 | Epsilon 0.25 | Last score: 10.0
Run 1 | Ep 20500 | Steps 317760/1000000 | Epsilon 0.25 | Last score: 9.0
Run 1 | Ep 20600 | Steps 318847/1000000 | Epsilon 0.24 | Last score: 9.0
Run 1 | Ep 20700 | Steps 319940/1000000 | Epsilon 0.24 | Last score: 9.0
Run 1 | Ep 20800 | Steps 321019/1000000 | Epsilon 0.24 | Last score: 10.0
Run 1 | Ep 20900 | Steps 322099/1000000 | Epsilon 0.24 | Last score: 12.0
Run 1 | Ep 21000 | Steps 323183/1000000 | Epsilon 0.23 | Last score: 10.0
Run 1 | Ep 21100 | Steps 324264/1000000 | Epsilon 0.23 | Last score: 13.0
Run 1 | Ep 21200 | Steps 325335/1000000 | Epsilon 0.23 | Last score: 11.0
Run 1 | Ep 21300 | Steps 326444/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 21400 | Steps 327516/1000000 | Epsilon 0.22 | Last score: 11.0
Run 1 | Ep 21500 | Steps 328587/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 21600 | Steps 329646/1000000 | Epsilon 0.22 | Last score: 10.0
Run 1 | Ep 21700 | Steps 330741/1000000 | Epsilon 0.21 | Last score: 12.0
Run 1 | Ep 21800 | Steps 331794/1000000 | Epsilon 0.21 | Last score: 11.0
Run 1 | Ep 21900 | Steps 332833/1000000 | Epsilon 0.21 | Last score: 10.0
Run 1 | Ep 22000 | Steps 333883/1000000 | Epsilon 0.21 | Last score: 10.0
Run 1 | Ep 22100 | Steps 334944/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 22200 | Steps 335995/1000000 | Epsilon 0.20 | Last score: 9.0
Run 1 | Ep 22300 | Steps 337047/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 22400 | Steps 338095/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 22500 | Steps 339159/1000000 | Epsilon 0.19 | Last score: 13.0
Run 1 | Ep 22600 | Steps 340201/1000000 | Epsilon 0.19 | Last score: 9.0
Run 1 | Ep 22700 | Steps 341258/1000000 | Epsilon 0.19 | Last score: 9.0
Run 1 | Ep 22800 | Steps 342303/1000000 | Epsilon 0.19 | Last score: 11.0
Run 1 | Ep 22900 | Steps 343350/1000000 | Epsilon 0.18 | Last score: 10.0
Run 1 | Ep 23000 | Steps 344412/1000000 | Epsilon 0.18 | Last score: 12.0
Run 1 | Ep 23100 | Steps 345466/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 23200 | Steps 346536/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 23300 | Steps 347588/1000000 | Epsilon 0.17 | Last score: 10.0
