03-31 04:00:55: Training starting...

Starting run 1/5.
Run 1 | Ep 11500 | Steps 169355/1000000 | Epsilon 0.16 | Last score: 10.0
Run 1 | Ep 11600 | Steps 170404/1000000 | Epsilon 0.16 | Last score: 12.0
Run 1 | Ep 11700 | Steps 171431/1000000 | Epsilon 0.15 | Last score: 13.0
Run 1 | Ep 11800 | Steps 172430/1000000 | Epsilon 0.15 | Last score: 9.0
Run 1 | Ep 11900 | Steps 173435/1000000 | Epsilon 0.14 | Last score: 9.0
Run 1 | Ep 12000 | Steps 174431/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12100 | Steps 175436/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12200 | Steps 176430/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12300 | Steps 177461/1000000 | Epsilon 0.12 | Last score: 10.0
Run 1 | Ep 12400 | Steps 178449/1000000 | Epsilon 0.12 | Last score: 9.0
Run 1 | Ep 12500 | Steps 179453/1000000 | Epsilon 0.11 | Last score: 10.0
Run 1 | Ep 12600 | Steps 180434/1000000 | Epsilon 0.11 | Last score: 11.0
Run 1 | Ep 12700 | Steps 181434/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 12800 | Steps 182429/1000000 | Epsilon 0.10 | Last score: 8.0
Run 1 | Ep 12900 | Steps 183392/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13000 | Steps 184365/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13100 | Steps 185349/1000000 | Epsilon 0.08 | Last score: 9.0
Run 1 | Ep 13200 | Steps 186341/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13300 | Steps 187310/1000000 | Epsilon 0.07 | Last score: 10.0
Run 1 | Ep 13400 | Steps 188287/1000000 | Epsilon 0.07 | Last score: 10.0
Run 1 | Ep 13500 | Steps 189251/1000000 | Epsilon 0.06 | Last score: 10.0
Run 1 | Ep 13600 | Steps 190218/1000000 | Epsilon 0.06 | Last score: 10.0
Run 1 | Ep 13700 | Steps 191187/1000000 | Epsilon 0.05 | Last score: 8.0
Run 1 | Ep 13800 | Steps 192157/1000000 | Epsilon 0.05 | Last score: 10.0
Run 1 | Ep 13900 | Steps 193125/1000000 | Epsilon 0.04 | Last score: 10.0
Run 1 | Ep 14000 | Steps 194076/1000000 | Epsilon 0.04 | Last score: 11.0
Run 1 | Ep 14100 | Steps 195049/1000000 | Epsilon 0.03 | Last score: 11.0
Run 1 | Ep 14200 | Steps 196004/1000000 | Epsilon 0.03 | Last score: 9.0
Run 1 | Ep 14300 | Steps 196947/1000000 | Epsilon 0.03 | Last score: 9.0
Run 1 | Ep 14400 | Steps 197896/1000000 | Epsilon 0.02 | Last score: 9.0
Run 1 | Ep 14500 | Steps 198838/1000000 | Epsilon 0.02 | Last score: 10.0
Run 1 | Ep 14600 | Steps 199793/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 14700 | Steps 200728/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14800 | Steps 201669/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14900 | Steps 202600/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15000 | Steps 203530/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15100 | Steps 204479/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15200 | Steps 205426/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15300 | Steps 206379/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15400 | Steps 207325/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15500 | Steps 208255/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15600 | Steps 209187/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15700 | Steps 210120/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15800 | Steps 211056/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15900 | Steps 212002/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16000 | Steps 212939/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16100 | Steps 213890/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16200 | Steps 214847/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16300 | Steps 215782/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 16400 | Steps 216738/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16500 | Steps 217678/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16600 | Steps 218620/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16700 | Steps 219567/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 16800 | Steps 220498/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16900 | Steps 221432/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17000 | Steps 222363/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17100 | Steps 223302/1000000 | Epsilon 0.01 | Last score: 9.0
